tile_name,zone,imagery_path,mask_path
19_373910_214978,General,data/raw/imagery/19_373910_214978.png,data/processed/masks/19_373910_214978.png
19_373966_215032,Sector 7-8,data/raw/imagery/19_373966_215032.png,data/processed/masks/19_373966_215032.png
19_373976_215036,Sector 7-8,data/raw/imagery/19_373976_215036.png,data/processed/masks/19_373976_215036.png
19_373968_215083,Sector 22,data/raw/imagery/19_373968_215083.png,data/processed/masks/19_373968_215083.png
19_373973_215039,Sector 7-8,data/raw/imagery/19_373973_215039.png,data/processed/masks/19_373973_215039.png
19_374037_215126,General,data/raw/imagery/19_374037_215126.png,data/processed/masks/19_374037_215126.png
19_373973_215032,Sector 7-8,data/raw/imagery/19_373973_215032.png,data/processed/masks/19_373973_215032.png
19_373983_215040,Sector 7-8,data/raw/imagery/19_373983_215040.png,data/processed/masks/19_373983_215040.png
19_373965_215080,Sector 22,data/raw/imagery/19_373965_215080.png,data/processed/masks/19_373965_215080.png
19_373970_215069,Sector 22,data/raw/imagery/19_373970_215069.png,data/processed/masks/19_373970_215069.png
19_373965_215062,Sector 22,data/raw/imagery/19_373965_215062.png,data/processed/masks/19_373965_215062.png
19_373961_215035,Sector 7-8,data/raw/imagery/19_373961_215035.png,data/processed/masks/19_373961_215035.png
19_373983_215052,Sector 7-8,data/raw/imagery/19_373983_215052.png,data/processed/masks/19_373983_215052.png
19_373973_215038,Sector 7-8,data/raw/imagery/19_373973_215038.png,data/processed/masks/19_373973_215038.png
19_373969_215077,Sector 22,data/raw/imagery/19_373969_215077.png,data/processed/masks/19_373969_215077.png
19_373962_215083,Sector 22,data/raw/imagery/19_373962_215083.png,data/processed/masks/19_373962_215083.png
19_374006_215049,General,data/raw/imagery/19_374006_215049.png,data/processed/masks/19_374006_215049.png
19_373980_215046,Sector 7-8,data/raw/imagery/19_373980_215046.png,data/processed/masks/19_373980_215046.png
19_373971_215068,Sector 22,data/raw/imagery/19_373971_215068.png,data/processed/masks/19_373971_215068.png
19_373907_215107,General,data/raw/imagery/19_373907_215107.png,data/processed/masks/19_373907_215107.png
19_373967_215039,Sector 7-8,data/raw/imagery/19_373967_215039.png,data/processed/masks/19_373967_215039.png
19_373968_215060,Sector 22,data/raw/imagery/19_373968_215060.png,data/processed/masks/19_373968_215060.png
19_373963_215078,Sector 22,data/raw/imagery/19_373963_215078.png,data/processed/masks/19_373963_215078.png
19_373956_215072,Sector 22,data/raw/imagery/19_373956_215072.png,data/processed/masks/19_373956_215072.png
19_373976_215073,Sector 22,data/raw/imagery/19_373976_215073.png,data/processed/masks/19_373976_215073.png
19_373963_215043,Sector 7-8,data/raw/imagery/19_373963_215043.png,data/processed/masks/19_373963_215043.png
19_373964_215071,Sector 22,data/raw/imagery/19_373964_215071.png,data/processed/masks/19_373964_215071.png
19_373978_215033,Sector 7-8,data/raw/imagery/19_373978_215033.png,data/processed/masks/19_373978_215033.png
19_373948_215061,Sector 22,data/raw/imagery/19_373948_215061.png,data/processed/masks/19_373948_215061.png
19_373952_215078,Sector 22,data/raw/imagery/19_373952_215078.png,data/processed/masks/19_373952_215078.png
19_373973_215043,Sector 7-8,data/raw/imagery/19_373973_215043.png,data/processed/masks/19_373973_215043.png
19_373964_215075,Sector 22,data/raw/imagery/19_373964_215075.png,data/processed/masks/19_373964_215075.png
19_373955_215068,Sector 22,data/raw/imagery/19_373955_215068.png,data/processed/masks/19_373955_215068.png
19_373974_215032,Sector 7-8,data/raw/imagery/19_373974_215032.png,data/processed/masks/19_373974_215032.png
19_373971_215064,Sector 22,data/raw/imagery/19_373971_215064.png,data/processed/masks/19_373971_215064.png
19_373969_215034,Sector 7-8,data/raw/imagery/19_373969_215034.png,data/processed/masks/19_373969_215034.png
19_373979_215049,Sector 7-8,data/raw/imagery/19_373979_215049.png,data/processed/masks/19_373979_215049.png
19_373977_215062,Sector 22,data/raw/imagery/19_373977_215062.png,data/processed/masks/19_373977_215062.png
19_373964_215067,Sector 22,data/raw/imagery/19_373964_215067.png,data/processed/masks/19_373964_215067.png
19_373949_215074,Sector 22,data/raw/imagery/19_373949_215074.png,data/processed/masks/19_373949_215074.png
19_373911_215089,General,data/raw/imagery/19_373911_215089.png,data/processed/masks/19_373911_215089.png
19_373984_215047,Sector 7-8,data/raw/imagery/19_373984_215047.png,data/processed/masks/19_373984_215047.png
19_373973_215073,Sector 22,data/raw/imagery/19_373973_215073.png,data/processed/masks/19_373973_215073.png
19_373997_215188,General,data/raw/imagery/19_373997_215188.png,data/processed/masks/19_373997_215188.png
19_373975_215062,Sector 22,data/raw/imagery/19_373975_215062.png,data/processed/masks/19_373975_215062.png
19_373954_215064,Sector 22,data/raw/imagery/19_373954_215064.png,data/processed/masks/19_373954_215064.png
19_373890_215141,General,data/raw/imagery/19_373890_215141.png,data/processed/masks/19_373890_215141.png
19_373976_215067,Sector 22,data/raw/imagery/19_373976_215067.png,data/processed/masks/19_373976_215067.png
19_373973_215036,Sector 7-8,data/raw/imagery/19_373973_215036.png,data/processed/masks/19_373973_215036.png
19_373960_215028,Sector 7-8,data/raw/imagery/19_373960_215028.png,data/processed/masks/19_373960_215028.png
19_373953_215076,Sector 22,data/raw/imagery/19_373953_215076.png,data/processed/masks/19_373953_215076.png
19_373954_215062,Sector 22,data/raw/imagery/19_373954_215062.png,data/processed/masks/19_373954_215062.png
19_373951_215071,Sector 22,data/raw/imagery/19_373951_215071.png,data/processed/masks/19_373951_215071.png
19_373958_215078,Sector 22,data/raw/imagery/19_373958_215078.png,data/processed/masks/19_373958_215078.png
19_373958_215031,Sector 7-8,data/raw/imagery/19_373958_215031.png,data/processed/masks/19_373958_215031.png
19_373964_215073,Sector 22,data/raw/imagery/19_373964_215073.png,data/processed/masks/19_373964_215073.png
